league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
E0,264,Chelsea,Burnley,draw,0.1849642146120927,6.7,0.23926023790102113,0.01049387008337812,True
E0,264,Chelsea,Burnley,away,0.12605436695227482,12.88,0.6235802463452997,0.01312247993150883,False
E0,263,Brentford,Brighton,away,0.33547909643533924,3.45,0.1574028827019205,0.01606151864305311,True
E0,270,Tottenham,Arsenal,home,0.20849836363152668,5.83,0.21554545997180052,0.011156597307029024,False
E0,267,Crystal Palace,Wolves,away,0.24983397779313157,5.26,0.31412672319187207,0.018434666853983105,False
E0,268,Nott'm Forest,Liverpool,away,0.5742061578599696,1.8,0.033571084147945296,0.01049096379623294,True
E0,271,Everton,Man United,home,0.36152334032264744,3.57,0.2906383249518514,0.028272210598429114,False
E0,271,Everton,Man United,draw,0.299243752550561,3.73,0.11617919701359258,0.010639120605640347,False
E0,272,Wolves,Aston Villa,home,0.2904001294920474,4.17,0.21096853998183773,0.01663789747490834,True
E0,275,Liverpool,West Ham,home,0.7322110919087681,1.41,0.0324176395913629,0.01976685340936766,True
E0,274,Burnley,Brentford,home,0.2284755323796364,4.58,0.04641793829873464,0.003241476138179793,False
E0,277,Leeds,Man City,away,0.7771590189176241,1.6,0.24345443026819868,0.05,True
E0,278,Brighton,Nott'm Forest,away,0.3015006694725205,3.42,0.031132289596020213,0.003216145619423576,False
E0,279,Fulham,Tottenham,away,0.35794288484404013,3.3,0.18121151998533236,0.01969690434623178,False
E0,280,Man United,Crystal Palace,draw,0.2701155071429665,4.31,0.16419783578618552,0.012401649228563863,False
E0,280,Man United,Crystal Palace,away,0.34711429759483514,5.61,0.9473112095070253,0.05,False
E0,281,Arsenal,Chelsea,away,0.20097915406110484,5.28,0.06116993344263366,0.0035730101309949503,False
E0,283,Everton,Burnley,draw,0.2726073674584001,3.96,0.07952517513526436,0.006716653305343274,False
E0,283,Everton,Burnley,away,0.21524863200108585,6.06,0.30440670992658014,0.015039857209811273,False
E0,286,Aston Villa,Chelsea,home,0.3810511991159969,2.67,0.017406701639711697,0.0026057936586394593,False
E0,290,Newcastle,Man United,home,0.5552044109035328,2.56,0.42132329191304385,0.05,True
E0,287,Brighton,Arsenal,home,0.2150015878224898,5.03,0.08145798674712368,0.005053224984312883,False
